日期,时间段,预测负载功率（kW）
2026-01-01,18:30-18:40,4183.996326
2026-01-01,18:40-18:50,4205.590192
2026-01-01,18:50-19:00,4102.260373
2026-01-01,19:00-19:10,4097.349367
2026-01-01,19:10-19:20,4190.206369
2026-01-01,19:20-19:30,4289.298433
2026-01-01,19:30-19:40,4308.031004
2026-01-01,19:40-19:50,4300.292190
2026-01-01,19:50-20:00,4283.921051
2026-01-01,20:00-20:10,4225.286213
2026-01-01,20:10-20:20,4170.934954
2026-01-01,20:20-20:30,4188.730055
2026-01-01,20:30-20:40,4302.276328
2026-01-01,20:40-20:50,4362.638040
2026-01-01,20:50-21:00,4324.013700
2026-01-01,21:00-21:10,4271.180067
2026-01-01,21:10-21:20,4228.947338
2026-01-01,21:20-21:30,4269.675831
2026-01-01,21:30-21:40,4369.940249
2026-01-01,21:40-21:50,3913.103786
2026-01-01,21:50-22:00,3192.072224
2026-01-01,22:00-22:10,3165.454060
2026-01-01,22:10-22:20,3250.410838
2026-01-01,22:20-22:30,3148.299220
2026-01-01,22:30-22:40,3153.809084
2026-01-01,22:40-22:50,3213.417015
2026-01-01,22:50-23:00,3252.123882
2026-01-01,23:00-23:10,3275.535411
2026-01-01,23:10-23:20,3319.882477
2026-01-01,23:20-23:30,3438.647719
2026-01-01,23:30-23:40,3556.178622
2026-01-01,23:40-23:50,3085.691148
2026-01-01,23:50-24:00,2381.859281
2026-01-02,00:00-00:10,2539.041209
2026-01-02,00:10-00:20,2723.799877
2026-01-02,00:20-00:30,2708.428293
2026-01-02,00:30-00:40,2722.559450
2026-01-02,00:40-00:50,2776.718043
2026-01-02,00:50-01:00,2790.941592
2026-01-02,01:00-01:10,2720.458367
2026-01-02,01:10-01:20,2764.339213
2026-01-02,01:20-01:30,2884.734126
2026-01-02,01:30-01:40,2862.085332
2026-01-02,01:40-01:50,2927.434870
2026-01-02,01:50-02:00,3078.029438
2026-01-02,02:00-02:10,3060.952726
2026-01-02,02:10-02:20,3015.714777
2026-01-02,02:20-02:30,3051.631334
2026-01-02,02:30-02:40,3119.344677
2026-01-02,02:40-02:50,3073.288645
2026-01-02,02:50-03:00,2970.742395
2026-01-02,03:00-03:10,3024.953760
2026-01-02,03:10-03:20,3169.464433
2026-01-02,03:20-03:30,3224.448642
2026-01-02,03:30-03:40,3082.091746
2026-01-02,03:40-03:50,3069.968266
2026-01-02,03:50-04:00,3249.332355
2026-01-02,04:00-04:10,3342.991545
2026-01-02,04:10-04:20,3233.879096
2026-01-02,04:20-04:30,3109.368379
2026-01-02,04:30-04:40,3258.935094
2026-01-02,04:40-04:50,3356.704226
2026-01-02,04:50-05:00,3315.172138
2026-01-02,05:00-05:10,3351.033157
2026-01-02,05:10-05:20,3327.123705
2026-01-02,05:20-05:30,3232.488881
2026-01-02,05:30-05:40,3242.701110
2026-01-02,05:40-05:50,3398.064201
2026-01-02,05:50-06:00,3581.631820
2026-01-02,06:00-06:10,3623.678187
2026-01-02,06:10-06:20,3621.501453
2026-01-02,06:20-06:30,3604.829677
2026-01-02,06:30-06:40,3548.847245
2026-01-02,06:40-06:50,3733.617210
2026-01-02,06:50-07:00,4071.720952
2026-01-02,07:00-07:10,4142.674962
2026-01-02,07:10-07:20,3979.996177
2026-01-02,07:20-07:30,3860.539678
2026-01-02,07:30-07:40,4051.593685
2026-01-02,07:40-07:50,4290.318658
2026-01-02,07:50-08:00,4360.183058
2026-01-02,08:00-08:10,4271.875234
2026-01-02,08:10-08:20,4214.782052
2026-01-02,08:20-08:30,4208.741810
2026-01-02,08:30-08:40,4174.261915
2026-01-02,08:40-08:50,4455.338546
2026-01-02,08:50-09:00,4863.555447
2026-01-02,09:00-09:10,4814.950404
2026-01-02,09:10-09:20,4688.047100
2026-01-02,09:20-09:30,4704.133511
2026-01-02,09:30-09:40,4711.807176
2026-01-02,09:40-09:50,4689.801602
2026-01-02,09:50-10:00,4683.634686
2026-01-02,10:00-10:10,4726.674308
2026-01-02,10:10-10:20,4692.907142
2026-01-02,10:20-10:30,4607.760922
2026-01-02,10:30-10:40,4620.440225
2026-01-02,10:40-10:50,4616.010609
2026-01-02,10:50-11:00,4575.406007
2026-01-02,11:00-11:10,4583.545366
2026-01-02,11:10-11:20,4497.477727
2026-01-02,11:20-11:30,4393.593911
2026-01-02,11:30-11:40,4495.427561
2026-01-02,11:40-11:50,4517.394113
2026-01-02,11:50-12:00,4379.258588
2026-01-02,12:00-12:10,4292.349730
2026-01-02,12:10-12:20,4290.500015
2026-01-02,12:20-12:30,4336.554620
2026-01-02,12:30-12:40,4376.165079
2026-01-02,12:40-12:50,4378.254553
2026-01-02,12:50-13:00,4325.749840
2026-01-02,13:00-13:10,4239.856214
2026-01-02,13:10-13:20,4252.937680
2026-01-02,13:20-13:30,4292.612796
2026-01-02,13:30-13:40,4165.401521
2026-01-02,13:40-13:50,4110.356737
2026-01-02,13:50-14:00,4184.566911
2026-01-02,14:00-14:10,4210.536567
2026-01-02,14:10-14:20,4234.864350
2026-01-02,14:20-14:30,4177.273986
2026-01-02,14:30-14:40,3920.824635
2026-01-02,14:40-14:50,3917.627453
2026-01-02,14:50-15:00,4110.114711
2026-01-02,15:00-15:10,3998.469074
2026-01-02,15:10-15:20,3912.204733
2026-01-02,15:20-15:30,3994.498557
2026-01-02,15:30-15:40,4018.239258
2026-01-02,15:40-15:50,3887.775027
2026-01-02,15:50-16:00,3753.689887
2026-01-02,16:00-16:10,3843.427787
2026-01-02,16:10-16:20,3873.632447
2026-01-02,16:20-16:30,3831.913812
2026-01-02,16:30-16:40,3917.254974
2026-01-02,16:40-16:50,3610.531116
2026-01-02,16:50-17:00,3124.370971
2026-01-02,17:00-17:10,3223.024291
2026-01-02,17:10-17:20,3252.141356
2026-01-02,17:20-17:30,3049.476662
2026-01-02,17:30-17:40,3098.282833
2026-01-02,17:40-17:50,3058.193979
2026-01-02,17:50-18:00,2866.174075
2026-01-02,18:00-18:10,2835.773965
2026-01-02,18:10-18:20,2826.001075
2026-01-02,18:20-18:30,2797.664073
2026-01-02,18:30-18:40,2869.817388
2026-01-02,18:40-18:50,2915.796450
2026-01-02,18:50-19:00,2852.031114
2026-01-02,19:00-19:10,2737.247208
2026-01-02,19:10-19:20,2760.239535
2026-01-02,19:20-19:30,2883.839184
2026-01-02,19:30-19:40,2885.786877
2026-01-02,19:40-19:50,2830.110096
2026-01-02,19:50-20:00,2796.648107
2026-01-02,20:00-20:10,2808.678513
2026-01-02,20:10-20:20,2892.513005
2026-01-02,20:20-20:30,2960.545017
2026-01-02,20:30-20:40,2883.220186
2026-01-02,20:40-20:50,2818.082944
2026-01-02,20:50-21:00,2850.295116
2026-01-02,21:00-21:10,2917.425256
2026-01-02,21:10-21:20,2951.604400
2026-01-02,21:20-21:30,2958.870142
2026-01-02,21:30-21:40,2948.956950
2026-01-02,21:40-21:50,2673.158859
2026-01-02,21:50-22:00,2305.217482
2026-01-02,22:00-22:10,2315.786933
2026-01-02,22:10-22:20,2424.695840
2026-01-02,22:20-22:30,2454.307254
2026-01-02,22:30-22:40,2486.004308
2026-01-02,22:40-22:50,2461.651914
2026-01-02,22:50-23:00,2439.862248
2026-01-02,23:00-23:10,2544.549164
2026-01-02,23:10-23:20,2555.834604
2026-01-02,23:20-23:30,2496.121334
2026-01-02,23:30-23:40,2594.595606
2026-01-02,23:40-23:50,2602.601234
2026-01-02,23:50-24:00,2483.884382
2026-01-03,00:00-00:10,2588.890247
2026-01-03,00:10-00:20,2599.037537
2026-01-03,00:20-00:30,2664.998078
2026-01-03,00:30-00:40,2784.244954
2026-01-03,00:40-00:50,2791.723762
2026-01-03,00:50-01:00,2753.714861
2026-01-03,01:00-01:10,2883.874530
2026-01-03,01:10-01:20,2914.069801
2026-01-03,01:20-01:30,2848.911164
2026-01-03,01:30-01:40,2954.948553
2026-01-03,01:40-01:50,2978.487620
2026-01-03,01:50-02:00,2911.941725
2026-01-03,02:00-02:10,3005.288577
2026-01-03,02:10-02:20,3030.726464
2026-01-03,02:20-02:30,2956.534843
2026-01-03,02:30-02:40,2989.155801
2026-01-03,02:40-02:50,3015.259650
2026-01-03,02:50-03:00,2983.870635
2026-01-03,03:00-03:10,2983.710526
2026-01-03,03:10-03:20,3073.466798
2026-01-03,03:20-03:30,3175.647118
2026-01-03,03:30-03:40,3164.571822
2026-01-03,03:40-03:50,3217.672720
2026-01-03,03:50-04:00,3307.158459
2026-01-03,04:00-04:10,3237.554779
2026-01-03,04:10-04:20,3256.718393
2026-01-03,04:20-04:30,3373.203938
2026-01-03,04:30-04:40,3341.039053
2026-01-03,04:40-04:50,3302.802018
2026-01-03,04:50-05:00,3358.918520
2026-01-03,05:00-05:10,3445.210919
2026-01-03,05:10-05:20,3420.181478
2026-01-03,05:20-05:30,3315.750950
2026-01-03,05:30-05:40,3300.786534
2026-01-03,05:40-05:50,3331.297708
2026-01-03,05:50-06:00,3400.338007
2026-01-03,06:00-06:10,3542.570593
2026-01-03,06:10-06:20,3598.137112
2026-01-03,06:20-06:30,3550.387858
2026-01-03,06:30-06:40,3576.639705
2026-01-03,06:40-06:50,3840.680188
2026-01-03,06:50-07:00,4091.733546
2026-01-03,07:00-07:10,3923.066023
2026-01-03,07:10-07:20,3906.147121
2026-01-03,07:20-07:30,4083.224621
2026-01-03,07:30-07:40,3971.672025
2026-01-03,07:40-07:50,4069.040073
2026-01-03,07:50-08:00,4366.637089
2026-01-03,08:00-08:10,4318.261376
2026-01-03,08:10-08:20,4248.107464
2026-01-03,08:20-08:30,4275.894155
2026-01-03,08:30-08:40,4229.734899
2026-01-03,08:40-08:50,4464.761339
2026-01-03,08:50-09:00,4829.670023
2026-01-03,09:00-09:10,4781.120710
2026-01-03,09:10-09:20,4753.026460
2026-01-03,09:20-09:30,4832.891996
2026-01-03,09:30-09:40,4684.082408
2026-01-03,09:40-09:50,4643.198323
2026-01-03,09:50-10:00,4735.896148
2026-01-03,10:00-10:10,4645.395236
2026-01-03,10:10-10:20,4614.873845
2026-01-03,10:20-10:30,4723.902295
2026-01-03,10:30-10:40,4775.206563
2026-01-03,10:40-10:50,4704.096055
2026-01-03,10:50-11:00,4578.295977
2026-01-03,11:00-11:10,4519.688962
2026-01-03,11:10-11:20,4486.158189
2026-01-03,11:20-11:30,4458.863356
2026-01-03,11:30-11:40,4459.789989
2026-01-03,11:40-11:50,4418.061936
2026-01-03,11:50-12:00,4356.111579
2026-01-03,12:00-12:10,4379.038720
2026-01-03,12:10-12:20,4451.275537
2026-01-03,12:20-12:30,4446.874974
2026-01-03,12:30-12:40,4289.733753
2026-01-03,12:40-12:50,4298.230131
2026-01-03,12:50-13:00,4421.528151
2026-01-03,13:00-13:10,4309.045705
2026-01-03,13:10-13:20,4265.589647
2026-01-03,13:20-13:30,4325.082792
2026-01-03,13:30-13:40,4214.556744
2026-01-03,13:40-13:50,4177.322263
2026-01-03,13:50-14:00,4234.083879
2026-01-03,14:00-14:10,4148.816708
2026-01-03,14:10-14:20,4076.606225
2026-01-03,14:20-14:30,4091.932431
2026-01-03,14:30-14:40,4094.911715
2026-01-03,14:40-14:50,4024.833961
2026-01-03,14:50-15:00,4001.703425
2026-01-03,15:00-15:10,4162.175574
2026-01-03,15:10-15:20,4061.974871
2026-01-03,15:20-15:30,3749.837588
2026-01-03,15:30-15:40,3740.670784
2026-01-03,15:40-15:50,3861.382832
2026-01-03,15:50-16:00,3935.543636
2026-01-03,16:00-16:10,3956.039478
2026-01-03,16:10-16:20,3895.751451
2026-01-03,16:20-16:30,3845.966691
2026-01-03,16:30-16:40,3885.688291
2026-01-03,16:40-16:50,3577.187404
2026-01-03,16:50-17:00,3120.111804
2026-01-03,17:00-17:10,3191.096327
2026-01-03,17:10-17:20,3324.725784
2026-01-03,17:20-17:30,3256.442752
2026-01-03,17:30-17:40,3167.021059
2026-01-03,17:40-17:50,3043.262467
2026-01-03,17:50-18:00,2907.680310
2026-01-03,18:00-18:10,2844.391987
2026-01-03,18:10-18:20,2828.084551
2026-01-03,18:20-18:30,2867.039753
2026-01-03,18:30-18:40,2974.639714
2026-01-03,18:40-18:50,2949.337639
2026-01-03,18:50-19:00,2817.716994
2026-01-03,19:00-19:10,2807.383823
2026-01-03,19:10-19:20,2824.858412
2026-01-03,19:20-19:30,2806.945462
2026-01-03,19:30-19:40,2797.146421
2026-01-03,19:40-19:50,2811.466202
2026-01-03,19:50-20:00,2865.994367
2026-01-03,20:00-20:10,2955.336487
2026-01-03,20:10-20:20,2962.595697
2026-01-03,20:20-20:30,2908.171026
2026-01-03,20:30-20:40,2919.385373
2026-01-03,20:40-20:50,2897.122609
2026-01-03,20:50-21:00,2841.051308
2026-01-03,21:00-21:10,2860.523059
2026-01-03,21:10-21:20,2880.483069
2026-01-03,21:20-21:30,2907.803253
2026-01-03,21:30-21:40,2985.829276
2026-01-03,21:40-21:50,2805.715549
2026-01-03,21:50-22:00,2445.491920
2026-01-03,22:00-22:10,2333.321454
2026-01-03,22:10-22:20,2395.114609
2026-01-03,22:20-22:30,2485.348263
2026-01-03,22:30-22:40,2538.523156
2026-01-03,22:40-22:50,2569.007708
2026-01-03,22:50-23:00,2547.446512
2026-01-03,23:00-23:10,2444.327317
2026-01-03,23:10-23:20,2467.463722
2026-01-03,23:20-23:30,2561.584113
2026-01-03,23:30-23:40,2510.403797
2026-01-03,23:40-23:50,2721.109933
2026-01-03,23:50-24:00,3193.509167
2026-01-04,00:00-00:10,3603.987057
2026-01-04,00:10-00:20,3595.437862
2026-01-04,00:20-00:30,3515.497974
2026-01-04,00:30-00:40,3507.116664
2026-01-04,00:40-00:50,3439.103825
2026-01-04,00:50-01:00,3390.009643
2026-01-04,01:00-01:10,3584.834409
2026-01-04,01:10-01:20,3733.827401
2026-01-04,01:20-01:30,3715.596436
2026-01-04,01:30-01:40,3675.980820
2026-01-04,01:40-01:50,3633.035523
2026-01-04,01:50-02:00,3654.078194
2026-01-04,02:00-02:10,3807.268153
2026-01-04,02:10-02:20,3842.157862
2026-01-04,02:20-02:30,3792.938205
2026-01-04,02:30-02:40,3913.857095
2026-01-04,02:40-02:50,3901.468285
2026-01-04,02:50-03:00,3831.058644
2026-01-04,03:00-03:10,4067.416309
2026-01-04,03:10-03:20,4079.997294
2026-01-04,03:20-03:30,3912.735901
2026-01-04,03:30-03:40,4139.282398
2026-01-04,03:40-03:50,4263.915809
2026-01-04,03:50-04:00,4150.895886
2026-01-04,04:00-04:10,4163.222404
2026-01-04,04:10-04:20,4128.334636
2026-01-04,04:20-04:30,4053.957020
2026-01-04,04:30-04:40,4156.963564
2026-01-04,04:40-04:50,4218.033375
2026-01-04,04:50-05:00,4175.387517
2026-01-04,05:00-05:10,4186.229836
2026-01-04,05:10-05:20,4202.716915
2026-01-04,05:20-05:30,4111.386161
2026-01-04,05:30-05:40,3972.466727
2026-01-04,05:40-05:50,4529.744907
2026-01-04,05:50-06:00,5406.593977
2026-01-04,06:00-06:10,5428.768056
2026-01-04,06:10-06:20,5355.655286
2026-01-04,06:20-06:30,5497.811603
2026-01-04,06:30-06:40,5406.615408
2026-01-04,06:40-06:50,5364.635983
2026-01-04,06:50-07:00,5442.097208
2026-01-04,07:00-07:10,5404.550903
2026-01-04,07:10-07:20,5405.988471
2026-01-04,07:20-07:30,5359.676045
2026-01-04,07:30-07:40,5165.122477
2026-01-04,07:40-07:50,5951.789769
2026-01-04,07:50-08:00,7245.180192
2026-01-04,08:00-08:10,7327.874253
2026-01-04,08:10-08:20,7126.445886
2026-01-04,08:20-08:30,7222.171230
2026-01-04,08:30-08:40,7259.024923
2026-01-04,08:40-08:50,7237.116395
2026-01-04,08:50-09:00,7165.231786
2026-01-04,09:00-09:10,7017.344778
2026-01-04,09:10-09:20,6985.098061
2026-01-04,09:20-09:30,7095.646884
2026-01-04,09:30-09:40,7172.801625
2026-01-04,09:40-09:50,7113.548713
2026-01-04,09:50-10:00,6992.741756
2026-01-04,10:00-10:10,6971.440115
2026-01-04,10:10-10:20,6935.054246
2026-01-04,10:20-10:30,6883.900427
2026-01-04,10:30-10:40,6949.572694
2026-01-04,10:40-10:50,7047.356651
2026-01-04,10:50-11:00,7053.713513
2026-01-04,11:00-11:10,6929.607041
2026-01-04,11:10-11:20,6893.857136
2026-01-04,11:20-11:30,6979.626004
2026-01-04,11:30-11:40,6974.106478
2026-01-04,11:40-11:50,6697.296404
2026-01-04,11:50-12:00,6365.881175
2026-01-04,12:00-12:10,6388.960671
2026-01-04,12:10-12:20,6418.949159
2026-01-04,12:20-12:30,6292.882689
2026-01-04,12:30-12:40,6225.581696
2026-01-04,12:40-12:50,6414.594068
2026-01-04,12:50-13:00,6678.567092
2026-01-04,13:00-13:10,6629.062277
2026-01-04,13:10-13:20,6519.048387
2026-01-04,13:20-13:30,6493.730497
2026-01-04,13:30-13:40,6455.465157
2026-01-04,13:40-13:50,6422.597911
2026-01-04,13:50-14:00,6414.499710
2026-01-04,14:00-14:10,6412.322823
2026-01-04,14:10-14:20,6369.948406
2026-01-04,14:20-14:30,6274.613626
2026-01-04,14:30-14:40,6170.254150
2026-01-04,14:40-14:50,6161.725167
2026-01-04,14:50-15:00,6219.840304
2026-01-04,15:00-15:10,6214.623204
2026-01-04,15:10-15:20,6204.695125
2026-01-04,15:20-15:30,6216.080188
2026-01-04,15:30-15:40,6211.453233
2026-01-04,15:40-15:50,6221.531740
2026-01-04,15:50-16:00,6201.904614
2026-01-04,16:00-16:10,6083.869017
2026-01-04,16:10-16:20,6061.804410
2026-01-04,16:20-16:30,6126.478841
2026-01-04,16:30-16:40,6079.562655
2026-01-04,16:40-16:50,6041.325485
2026-01-04,16:50-17:00,6063.888152
2026-01-04,17:00-17:10,6067.409117
2026-01-04,17:10-17:20,6051.793392
2026-01-04,17:20-17:30,6141.260787
2026-01-04,17:30-17:40,6301.767532
2026-01-04,17:40-17:50,5530.554169
2026-01-04,17:50-18:00,4292.831394
2026-01-04,18:00-18:10,4165.631134
2026-01-04,18:10-18:20,4365.511026
2026-01-04,18:20-18:30,4349.899907
2026-01-04,18:30-18:40,4350.139758
2026-01-04,18:40-18:50,4300.370404
2026-01-04,18:50-19:00,4194.975027
2026-01-04,19:00-19:10,4155.186237
2026-01-04,19:10-19:20,4227.656600
2026-01-04,19:20-19:30,4292.087792
2026-01-04,19:30-19:40,4199.186237
2026-01-04,19:40-19:50,4250.205382
2026-01-04,19:50-20:00,4397.221520
2026-01-04,20:00-20:10,4285.086259
2026-01-04,20:10-20:20,4171.935936
2026-01-04,20:20-20:30,4212.218706
2026-01-04,20:30-20:40,4289.552942
2026-01-04,20:40-20:50,4261.241361
2026-01-04,20:50-21:00,4176.427421
2026-01-04,21:00-21:10,4212.737133
2026-01-04,21:10-21:20,4284.625849
2026-01-04,21:20-21:30,4353.682071
2026-01-04,21:30-21:40,4383.546365
2026-01-04,21:40-21:50,3922.158705
2026-01-04,21:50-22:00,3240.147854
2026-01-04,22:00-22:10,3128.757405
2026-01-04,22:10-22:20,3171.581727
2026-01-04,22:20-22:30,3128.174356
2026-01-04,22:30-22:40,3179.606810
2026-01-04,22:40-22:50,3249.034150
2026-01-04,22:50-23:00,3278.209927
2026-01-04,23:00-23:10,3289.805165
2026-01-04,23:10-23:20,3279.895117
2026-01-04,23:20-23:30,3315.434070
2026-01-04,23:30-23:40,3453.078717
2026-01-04,23:40-23:50,3414.286668
2026-01-04,23:50-24:00,3290.630439
2026-01-05,00:00-00:10,3569.319975
2026-01-05,00:10-00:20,3585.222845
2026-01-05,00:20-00:30,3460.706219
2026-01-05,00:30-00:40,3505.525456
2026-01-05,00:40-00:50,3623.211714
2026-01-05,00:50-01:00,3724.356197
2026-01-05,01:00-01:10,3805.548399
2026-01-05,01:10-01:20,3764.055105
2026-01-05,01:20-01:30,3697.180800
2026-01-05,01:30-01:40,3820.522630
2026-01-05,01:40-01:50,3926.860846
2026-01-05,01:50-02:00,3893.376115
2026-01-05,02:00-02:10,3812.948722
2026-01-05,02:10-02:20,3860.195342
2026-01-05,02:20-02:30,3984.541591
2026-01-05,02:30-02:40,3972.048766
2026-01-05,02:40-02:50,3924.490113
2026-01-05,02:50-03:00,3914.533966
2026-01-05,03:00-03:10,3933.778194
2026-01-05,03:10-03:20,4079.532169
2026-01-05,03:20-03:30,4184.593705
2026-01-05,03:30-03:40,3986.816122
2026-01-05,03:40-03:50,3983.903765
2026-01-05,03:50-04:00,4207.060749
2026-01-05,04:00-04:10,4181.644071
2026-01-05,04:10-04:20,4044.480150
2026-01-05,04:20-04:30,4005.246865
2026-01-05,04:30-04:40,4127.775217
2026-01-05,04:40-04:50,4248.250403
2026-01-05,04:50-05:00,4298.937512
2026-01-05,05:00-05:10,4343.906136
2026-01-05,05:10-05:20,4363.351385
2026-01-05,05:20-05:30,4247.359934
2026-01-05,05:30-05:40,4022.619465
2026-01-05,05:40-05:50,4476.682689
2026-01-05,05:50-06:00,5327.370753
2026-01-05,06:00-06:10,5442.915077
2026-01-05,06:10-06:20,5313.059933
2026-01-05,06:20-06:30,5326.132936
2026-01-05,06:30-06:40,5364.852146
2026-01-05,06:40-06:50,5375.614689
2026-01-05,06:50-07:00,5406.563152
2026-01-05,07:00-07:10,5521.232977
2026-01-05,07:10-07:20,5533.566737
2026-01-05,07:20-07:30,5404.728436
2026-01-05,07:30-07:40,5394.394795
2026-01-05,07:40-07:50,6069.087274
2026-01-05,07:50-08:00,7041.240047
2026-01-05,08:00-08:10,7267.150354
2026-01-05,08:10-08:20,7174.842399
2026-01-05,08:20-08:30,7169.682666
2026-01-05,08:30-08:40,7227.111835
2026-01-05,08:40-08:50,7217.267023
2026-01-05,08:50-09:00,7143.861510
2026-01-05,09:00-09:10,7123.473617
2026-01-05,09:10-09:20,7105.859892
2026-01-05,09:20-09:30,7080.648208
2026-01-05,09:30-09:40,7097.616297
2026-01-05,09:40-09:50,7114.765590
2026-01-05,09:50-10:00,7083.635200
2026-01-05,10:00-10:10,7003.095838
2026-01-05,10:10-10:20,6984.279236
2026-01-05,10:20-10:30,6996.077368
2026-01-05,10:30-10:40,6918.727101
2026-01-05,10:40-10:50,6943.461886
2026-01-05,10:50-11:00,7003.532342
2026-01-05,11:00-11:10,6832.832455
2026-01-05,11:10-11:20,6705.826195
2026-01-05,11:20-11:30,6753.523956
2026-01-05,11:30-11:40,6806.202395
2026-01-05,11:40-11:50,6635.502951
2026-01-05,11:50-12:00,6344.523508
2026-01-05,12:00-12:10,6273.734966
2026-01-05,12:10-12:20,6342.180892
2026-01-05,12:20-12:30,6385.507729
2026-01-05,12:30-12:40,6328.842433
2026-01-05,12:40-12:50,6344.062698
2026-01-05,12:50-13:00,6476.656949
2026-01-05,13:00-13:10,6597.466298
2026-01-05,13:10-13:20,6632.560801
2026-01-05,13:20-13:30,6584.006115
2026-01-05,13:30-13:40,6509.187882
2026-01-05,13:40-13:50,6445.090551
2026-01-05,13:50-14:00,6396.004219
2026-01-05,14:00-14:10,6372.403963
2026-01-05,14:10-14:20,6503.189200
2026-01-05,14:20-14:30,6627.537008
2026-01-05,14:30-14:40,6435.006234
