日期,时间段,预测光伏功率（kW）
2026-01-01,16:10-16:20,1001.993674
2026-01-01,16:20-16:30,707.798412
2026-01-01,16:30-16:40,443.660168
2026-01-01,16:40-16:50,189.434999
2026-01-01,16:50-17:00,5.225192
2026-01-01,17:00-17:10,4.192621
2026-01-01,17:10-17:20,9.856064
2026-01-01,17:20-17:30,2.393684
2026-01-01,17:30-17:40,1.485410
2026-01-01,17:40-17:50,1.044504
2026-01-01,17:50-18:00,0.000000
2026-01-01,18:00-18:10,0.000000
2026-01-01,18:10-18:20,0.013571
2026-01-01,18:20-18:30,0.000000
2026-01-01,18:30-18:40,0.000000
2026-01-01,18:40-18:50,0.000977
2026-01-01,18:50-19:00,0.000000
2026-01-01,19:00-19:10,0.000000
2026-01-01,19:10-19:20,0.000000
2026-01-01,19:20-19:30,0.000000
2026-01-01,19:30-19:40,0.000000
2026-01-01,19:40-19:50,0.000000
2026-01-01,19:50-20:00,0.000000
2026-01-01,20:00-20:10,0.000000
2026-01-01,20:10-20:20,0.000000
2026-01-01,20:20-20:30,0.000000
2026-01-01,20:30-20:40,0.000000
2026-01-01,20:40-20:50,0.000000
2026-01-01,20:50-21:00,0.000000
2026-01-01,21:00-21:10,0.000000
2026-01-01,21:10-21:20,0.000000
2026-01-01,21:20-21:30,0.000000
2026-01-01,21:30-21:40,0.000000
2026-01-01,21:40-21:50,0.000000
2026-01-01,21:50-22:00,0.000000
2026-01-01,22:00-22:10,0.000000
2026-01-01,22:10-22:20,0.000000
2026-01-01,22:20-22:30,0.000000
2026-01-01,22:30-22:40,0.000000
2026-01-01,22:40-22:50,0.000000
2026-01-01,22:50-23:00,0.000000
2026-01-01,23:00-23:10,0.000000
2026-01-01,23:10-23:20,0.000000
2026-01-01,23:20-23:30,0.000000
2026-01-01,23:30-23:40,0.000000
2026-01-01,23:40-23:50,0.000000
2026-01-01,23:50-24:00,0.000000
2026-01-02,00:00-00:10,0.000000
2026-01-02,00:10-00:20,0.000000
2026-01-02,00:20-00:30,0.000000
2026-01-02,00:30-00:40,0.000000
2026-01-02,00:40-00:50,0.000000
2026-01-02,00:50-01:00,0.000000
2026-01-02,01:00-01:10,0.000000
2026-01-02,01:10-01:20,0.000000
2026-01-02,01:20-01:30,0.000000
2026-01-02,01:30-01:40,0.000000
2026-01-02,01:40-01:50,0.000000
2026-01-02,01:50-02:00,0.000000
2026-01-02,02:00-02:10,0.000000
2026-01-02,02:10-02:20,0.000000
2026-01-02,02:20-02:30,0.000000
2026-01-02,02:30-02:40,0.000000
2026-01-02,02:40-02:50,0.000000
2026-01-02,02:50-03:00,0.000000
2026-01-02,03:00-03:10,0.000000
2026-01-02,03:10-03:20,0.000000
2026-01-02,03:20-03:30,0.000000
2026-01-02,03:30-03:40,0.000000
2026-01-02,03:40-03:50,0.000000
2026-01-02,03:50-04:00,0.000000
2026-01-02,04:00-04:10,0.000000
2026-01-02,04:10-04:20,0.000000
2026-01-02,04:20-04:30,0.000000
2026-01-02,04:30-04:40,0.000000
2026-01-02,04:40-04:50,0.000000
2026-01-02,04:50-05:00,0.000000
2026-01-02,05:00-05:10,0.000943
2026-01-02,05:10-05:20,0.000000
2026-01-02,05:20-05:30,0.000000
2026-01-02,05:30-05:40,0.013251
2026-01-02,05:40-05:50,0.000000
2026-01-02,05:50-06:00,0.000000
2026-01-02,06:00-06:10,1.036505
2026-01-02,06:10-06:20,1.485760
2026-01-02,06:20-06:30,2.394504
2026-01-02,06:30-06:40,9.745258
2026-01-02,06:40-06:50,4.194938
2026-01-02,06:50-07:00,5.236183
2026-01-02,07:00-07:10,187.624715
2026-01-02,07:10-07:20,445.685071
2026-01-02,07:20-07:30,707.286750
2026-01-02,07:30-07:40,975.115007
2026-01-02,07:40-07:50,1261.145880
2026-01-02,07:50-08:00,1561.962421
2026-01-02,08:00-08:10,1856.316673
2026-01-02,08:10-08:20,2121.389267
2026-01-02,08:20-08:30,2381.218803
2026-01-02,08:30-08:40,2684.929133
2026-01-02,08:40-08:50,2994.871032
2026-01-02,08:50-09:00,3277.236774
2026-01-02,09:00-09:10,3529.530795
2026-01-02,09:10-09:20,3769.462339
2026-01-02,09:20-09:30,4000.480418
2026-01-02,09:30-09:40,4216.505153
2026-01-02,09:40-09:50,4446.507653
2026-01-02,09:50-10:00,4661.661807
2026-01-02,10:00-10:10,4804.072620
2026-01-02,10:10-10:20,4961.720122
2026-01-02,10:20-10:30,5147.723092
2026-01-02,10:30-10:40,5287.673802
2026-01-02,10:40-10:50,5404.607423
2026-01-02,10:50-11:00,5531.111716
2026-01-02,11:00-11:10,5660.978502
2026-01-02,11:10-11:20,5702.959476
2026-01-02,11:20-11:30,5680.883482
2026-01-02,11:30-11:40,5712.294407
2026-01-02,11:40-11:50,5747.733567
2026-01-02,11:50-12:00,5757.773119
2026-01-02,12:00-12:10,5765.826003
2026-01-02,12:10-12:20,5752.503104
2026-01-02,12:20-12:30,5663.047236
2026-01-02,12:30-12:40,5478.696289
2026-01-02,12:40-12:50,5408.072982
2026-01-02,12:50-13:00,5432.865931
2026-01-02,13:00-13:10,5329.925719
2026-01-02,13:10-13:20,5188.718326
2026-01-02,13:20-13:30,5084.267702
2026-01-02,13:30-13:40,4987.227207
2026-01-02,13:40-13:50,4837.532955
2026-01-02,13:50-14:00,4657.131116
2026-01-02,14:00-14:10,4517.455686
2026-01-02,14:10-14:20,4337.000092
2026-01-02,14:20-14:30,4078.273771
2026-01-02,14:30-14:40,3790.984773
2026-01-02,14:40-14:50,3537.426083
2026-01-02,14:50-15:00,3306.815358
2026-01-02,15:00-15:10,3034.856908
2026-01-02,15:10-15:20,2743.327424
2026-01-02,15:20-15:30,2451.279174
2026-01-02,15:30-15:40,2155.126576
2026-01-02,15:40-15:50,1860.894285
2026-01-02,15:50-16:00,1574.577253
2026-01-02,16:00-16:10,1294.679677
2026-01-02,16:10-16:20,1002.092486
2026-01-02,16:20-16:30,707.897223
2026-01-02,16:30-16:40,443.758980
2026-01-02,16:40-16:50,189.533811
2026-01-02,16:50-17:00,5.324003
2026-01-02,17:00-17:10,4.291432
2026-01-02,17:10-17:20,9.954875
2026-01-02,17:20-17:30,2.492496
2026-01-02,17:30-17:40,1.584221
2026-01-02,17:40-17:50,1.143315
2026-01-02,17:50-18:00,0.000000
2026-01-02,18:00-18:10,0.000000
2026-01-02,18:10-18:20,0.013571
2026-01-02,18:20-18:30,0.000000
2026-01-02,18:30-18:40,0.000000
2026-01-02,18:40-18:50,0.000977
2026-01-02,18:50-19:00,0.000000
2026-01-02,19:00-19:10,0.000000
2026-01-02,19:10-19:20,0.000000
2026-01-02,19:20-19:30,0.000000
2026-01-02,19:30-19:40,0.000000
2026-01-02,19:40-19:50,0.000000
2026-01-02,19:50-20:00,0.000000
2026-01-02,20:00-20:10,0.000000
2026-01-02,20:10-20:20,0.000000
2026-01-02,20:20-20:30,0.000000
2026-01-02,20:30-20:40,0.000000
2026-01-02,20:40-20:50,0.000000
2026-01-02,20:50-21:00,0.000000
2026-01-02,21:00-21:10,0.000000
2026-01-02,21:10-21:20,0.000000
2026-01-02,21:20-21:30,0.000000
2026-01-02,21:30-21:40,0.000000
2026-01-02,21:40-21:50,0.000000
2026-01-02,21:50-22:00,0.000000
2026-01-02,22:00-22:10,0.000000
2026-01-02,22:10-22:20,0.000000
2026-01-02,22:20-22:30,0.000000
2026-01-02,22:30-22:40,0.000000
2026-01-02,22:40-22:50,0.000000
2026-01-02,22:50-23:00,0.000000
2026-01-02,23:00-23:10,0.000000
2026-01-02,23:10-23:20,0.000000
2026-01-02,23:20-23:30,0.000000
2026-01-02,23:30-23:40,0.000000
2026-01-02,23:40-23:50,0.000000
2026-01-02,23:50-24:00,0.000000
2026-01-03,00:00-00:10,0.000000
2026-01-03,00:10-00:20,0.000000
2026-01-03,00:20-00:30,0.000000
2026-01-03,00:30-00:40,0.000000
2026-01-03,00:40-00:50,0.000000
2026-01-03,00:50-01:00,0.000000
2026-01-03,01:00-01:10,0.000000
2026-01-03,01:10-01:20,0.000000
2026-01-03,01:20-01:30,0.000000
2026-01-03,01:30-01:40,0.000000
2026-01-03,01:40-01:50,0.000000
2026-01-03,01:50-02:00,0.000000
2026-01-03,02:00-02:10,0.000000
2026-01-03,02:10-02:20,0.000000
2026-01-03,02:20-02:30,0.000000
2026-01-03,02:30-02:40,0.000000
2026-01-03,02:40-02:50,0.000000
2026-01-03,02:50-03:00,0.000000
2026-01-03,03:00-03:10,0.000000
2026-01-03,03:10-03:20,0.000000
2026-01-03,03:20-03:30,0.000000
2026-01-03,03:30-03:40,0.000000
2026-01-03,03:40-03:50,0.000000
2026-01-03,03:50-04:00,0.000000
2026-01-03,04:00-04:10,0.000000
2026-01-03,04:10-04:20,0.000000
2026-01-03,04:20-04:30,0.000000
2026-01-03,04:30-04:40,0.000000
2026-01-03,04:40-04:50,0.000000
2026-01-03,04:50-05:00,0.000000
2026-01-03,05:00-05:10,0.000943
2026-01-03,05:10-05:20,0.000000
2026-01-03,05:20-05:30,0.000000
2026-01-03,05:30-05:40,0.013251
2026-01-03,05:40-05:50,0.000000
2026-01-03,05:50-06:00,0.000000
2026-01-03,06:00-06:10,1.143345
2026-01-03,06:10-06:20,1.592600
2026-01-03,06:20-06:30,2.501344
2026-01-03,06:30-06:40,9.852097
2026-01-03,06:40-06:50,4.301777
2026-01-03,06:50-07:00,5.343022
2026-01-03,07:00-07:10,187.731555
2026-01-03,07:10-07:20,445.791910
2026-01-03,07:20-07:30,707.393590
2026-01-03,07:30-07:40,975.221846
2026-01-03,07:40-07:50,1261.252720
2026-01-03,07:50-08:00,1562.069260
2026-01-03,08:00-08:10,1856.423512
2026-01-03,08:10-08:20,2121.496107
2026-01-03,08:20-08:30,2381.325642
2026-01-03,08:30-08:40,2685.035972
2026-01-03,08:40-08:50,2994.977871
2026-01-03,08:50-09:00,3277.343614
2026-01-03,09:00-09:10,3529.637634
2026-01-03,09:10-09:20,3769.569179
2026-01-03,09:20-09:30,4000.587258
2026-01-03,09:30-09:40,4216.611992
2026-01-03,09:40-09:50,4446.614492
2026-01-03,09:50-10:00,4661.768646
2026-01-03,10:00-10:10,4804.179460
2026-01-03,10:10-10:20,4961.826962
2026-01-03,10:20-10:30,5147.829932
2026-01-03,10:30-10:40,5287.780642
2026-01-03,10:40-10:50,5404.714262
2026-01-03,10:50-11:00,5531.218555
2026-01-03,11:00-11:10,5661.085341
2026-01-03,11:10-11:20,5703.066316
2026-01-03,11:20-11:30,5680.990321
2026-01-03,11:30-11:40,5712.401246
2026-01-03,11:40-11:50,5747.840406
2026-01-03,11:50-12:00,5757.879958
2026-01-03,12:00-12:10,5765.932843
2026-01-03,12:10-12:20,5752.609944
2026-01-03,12:20-12:30,5663.154076
2026-01-03,12:30-12:40,5478.803128
2026-01-03,12:40-12:50,5408.179821
2026-01-03,12:50-13:00,5432.972771
2026-01-03,13:00-13:10,5330.032559
2026-01-03,13:10-13:20,5188.825166
2026-01-03,13:20-13:30,5084.374541
2026-01-03,13:30-13:40,4987.334046
2026-01-03,13:40-13:50,4837.639794
2026-01-03,13:50-14:00,4657.237955
2026-01-03,14:00-14:10,4517.562526
2026-01-03,14:10-14:20,4337.106932
2026-01-03,14:20-14:30,4078.380610
2026-01-03,14:30-14:40,3791.091612
2026-01-03,14:40-14:50,3537.532923
2026-01-03,14:50-15:00,3306.922198
2026-01-03,15:00-15:10,3034.963747
2026-01-03,15:10-15:20,2743.434264
2026-01-03,15:20-15:30,2451.386013
2026-01-03,15:30-15:40,2155.233416
2026-01-03,15:40-15:50,1861.001125
2026-01-03,15:50-16:00,1574.684092
2026-01-03,16:00-16:10,1294.786516
2026-01-03,16:10-16:20,1002.199325
2026-01-03,16:20-16:30,708.004063
2026-01-03,16:30-16:40,443.865819
2026-01-03,16:40-16:50,189.640650
2026-01-03,16:50-17:00,5.430842
2026-01-03,17:00-17:10,4.398271
2026-01-03,17:10-17:20,10.061715
2026-01-03,17:20-17:30,2.599335
2026-01-03,17:30-17:40,1.691061
2026-01-03,17:40-17:50,1.250154
2026-01-03,17:50-18:00,0.000000
2026-01-03,18:00-18:10,0.000000
2026-01-03,18:10-18:20,0.013571
2026-01-03,18:20-18:30,0.000000
2026-01-03,18:30-18:40,0.000000
2026-01-03,18:40-18:50,0.000977
2026-01-03,18:50-19:00,0.000000
2026-01-03,19:00-19:10,0.000000
2026-01-03,19:10-19:20,0.000000
2026-01-03,19:20-19:30,0.000000
2026-01-03,19:30-19:40,0.000000
2026-01-03,19:40-19:50,0.000000
2026-01-03,19:50-20:00,0.000000
2026-01-03,20:00-20:10,0.000000
2026-01-03,20:10-20:20,0.000000
2026-01-03,20:20-20:30,0.000000
2026-01-03,20:30-20:40,0.000000
2026-01-03,20:40-20:50,0.000000
2026-01-03,20:50-21:00,0.000000
2026-01-03,21:00-21:10,0.000000
2026-01-03,21:10-21:20,0.000000
2026-01-03,21:20-21:30,0.000000
2026-01-03,21:30-21:40,0.000000
2026-01-03,21:40-21:50,0.000000
2026-01-03,21:50-22:00,0.000000
2026-01-03,22:00-22:10,0.000000
2026-01-03,22:10-22:20,0.000000
2026-01-03,22:20-22:30,0.000000
2026-01-03,22:30-22:40,0.000000
2026-01-03,22:40-22:50,0.000000
2026-01-03,22:50-23:00,0.000000
2026-01-03,23:00-23:10,0.000000
2026-01-03,23:10-23:20,0.000000
2026-01-03,23:20-23:30,0.000000
2026-01-03,23:30-23:40,0.000000
2026-01-03,23:40-23:50,0.000000
2026-01-03,23:50-24:00,0.000000
2026-01-04,00:00-00:10,0.000000
2026-01-04,00:10-00:20,0.000000
2026-01-04,00:20-00:30,0.000000
2026-01-04,00:30-00:40,0.000000
2026-01-04,00:40-00:50,0.000000
2026-01-04,00:50-01:00,0.000000
2026-01-04,01:00-01:10,0.000000
2026-01-04,01:10-01:20,0.000000
2026-01-04,01:20-01:30,0.000000
2026-01-04,01:30-01:40,0.000000
2026-01-04,01:40-01:50,0.000000
2026-01-04,01:50-02:00,0.000000
2026-01-04,02:00-02:10,0.000000
2026-01-04,02:10-02:20,0.000000
2026-01-04,02:20-02:30,0.000000
2026-01-04,02:30-02:40,0.000000
2026-01-04,02:40-02:50,0.000000
2026-01-04,02:50-03:00,0.000000
2026-01-04,03:00-03:10,0.000000
2026-01-04,03:10-03:20,0.000000
2026-01-04,03:20-03:30,0.000000
2026-01-04,03:30-03:40,0.000000
2026-01-04,03:40-03:50,0.000000
2026-01-04,03:50-04:00,0.000000
2026-01-04,04:00-04:10,0.000000
2026-01-04,04:10-04:20,0.000000
2026-01-04,04:20-04:30,0.000000
2026-01-04,04:30-04:40,0.000000
2026-01-04,04:40-04:50,0.000000
2026-01-04,04:50-05:00,0.000000
2026-01-04,05:00-05:10,0.000943
2026-01-04,05:10-05:20,0.000000
2026-01-04,05:20-05:30,0.000000
2026-01-04,05:30-05:40,0.013251
2026-01-04,05:40-05:50,0.000000
2026-01-04,05:50-06:00,0.000000
2026-01-04,06:00-06:10,1.258120
2026-01-04,06:10-06:20,1.707375
2026-01-04,06:20-06:30,2.616119
2026-01-04,06:30-06:40,9.966873
2026-01-04,06:40-06:50,4.416552
2026-01-04,06:50-07:00,5.457797
2026-01-04,07:00-07:10,187.846330
2026-01-04,07:10-07:20,445.906685
2026-01-04,07:20-07:30,707.508365
2026-01-04,07:30-07:40,975.336621
2026-01-04,07:40-07:50,1261.367495
2026-01-04,07:50-08:00,1562.184035
2026-01-04,08:00-08:10,1856.538287
2026-01-04,08:10-08:20,2121.610882
2026-01-04,08:20-08:30,2381.440418
2026-01-04,08:30-08:40,2685.150747
2026-01-04,08:40-08:50,2995.092647
2026-01-04,08:50-09:00,3277.458389
2026-01-04,09:00-09:10,3529.752409
2026-01-04,09:10-09:20,3769.683954
2026-01-04,09:20-09:30,4000.702033
2026-01-04,09:30-09:40,4216.726767
2026-01-04,09:40-09:50,4446.729268
2026-01-04,09:50-10:00,4661.883421
2026-01-04,10:00-10:10,4804.294235
2026-01-04,10:10-10:20,4961.941737
2026-01-04,10:20-10:30,5147.944707
2026-01-04,10:30-10:40,5287.895417
2026-01-04,10:40-10:50,5404.829037
2026-01-04,10:50-11:00,5531.333330
2026-01-04,11:00-11:10,5661.200116
2026-01-04,11:10-11:20,5703.181091
2026-01-04,11:20-11:30,5681.105096
2026-01-04,11:30-11:40,5712.516021
2026-01-04,11:40-11:50,5747.955182
2026-01-04,11:50-12:00,5757.994733
2026-01-04,12:00-12:10,5766.047618
2026-01-04,12:10-12:20,5752.724719
2026-01-04,12:20-12:30,5663.268851
2026-01-04,12:30-12:40,5478.917903
2026-01-04,12:40-12:50,5408.294596
2026-01-04,12:50-13:00,5433.087546
2026-01-04,13:00-13:10,5330.147334
2026-01-04,13:10-13:20,5188.939941
2026-01-04,13:20-13:30,5084.489316
2026-01-04,13:30-13:40,4987.448821
2026-01-04,13:40-13:50,4837.754569
2026-01-04,13:50-14:00,4657.352730
2026-01-04,14:00-14:10,4517.677301
2026-01-04,14:10-14:20,4337.221707
2026-01-04,14:20-14:30,4078.495385
2026-01-04,14:30-14:40,3791.206387
2026-01-04,14:40-14:50,3537.647698
2026-01-04,14:50-15:00,3307.036973
2026-01-04,15:00-15:10,3035.078522
2026-01-04,15:10-15:20,2743.549039
2026-01-04,15:20-15:30,2451.500788
2026-01-04,15:30-15:40,2155.348191
2026-01-04,15:40-15:50,1861.115900
2026-01-04,15:50-16:00,1574.798868
2026-01-04,16:00-16:10,1294.901292
2026-01-04,16:10-16:20,1002.314100
2026-01-04,16:20-16:30,708.118838
2026-01-04,16:30-16:40,443.980594
2026-01-04,16:40-16:50,189.755425
2026-01-04,16:50-17:00,5.545618
2026-01-04,17:00-17:10,4.513047
2026-01-04,17:10-17:20,10.176490
2026-01-04,17:20-17:30,2.714110
2026-01-04,17:30-17:40,1.805836
2026-01-04,17:40-17:50,1.364930
2026-01-04,17:50-18:00,0.000000
2026-01-04,18:00-18:10,0.000000
2026-01-04,18:10-18:20,0.013571
2026-01-04,18:20-18:30,0.000000
2026-01-04,18:30-18:40,0.000000
2026-01-04,18:40-18:50,0.000977
2026-01-04,18:50-19:00,0.000000
2026-01-04,19:00-19:10,0.000000
2026-01-04,19:10-19:20,0.000000
2026-01-04,19:20-19:30,0.000000
2026-01-04,19:30-19:40,0.000000
2026-01-04,19:40-19:50,0.000000
2026-01-04,19:50-20:00,0.000000
2026-01-04,20:00-20:10,0.000000
2026-01-04,20:10-20:20,0.000000
2026-01-04,20:20-20:30,0.000000
2026-01-04,20:30-20:40,0.000000
2026-01-04,20:40-20:50,0.000000
2026-01-04,20:50-21:00,0.000000
2026-01-04,21:00-21:10,0.000000
2026-01-04,21:10-21:20,0.000000
2026-01-04,21:20-21:30,0.000000
2026-01-04,21:30-21:40,0.000000
2026-01-04,21:40-21:50,0.000000
2026-01-04,21:50-22:00,0.000000
2026-01-04,22:00-22:10,0.000000
2026-01-04,22:10-22:20,0.000000
2026-01-04,22:20-22:30,0.000000
2026-01-04,22:30-22:40,0.000000
2026-01-04,22:40-22:50,0.000000
2026-01-04,22:50-23:00,0.000000
2026-01-04,23:00-23:10,0.000000
2026-01-04,23:10-23:20,0.000000
2026-01-04,23:20-23:30,0.000000
2026-01-04,23:30-23:40,0.000000
2026-01-04,23:40-23:50,0.000000
2026-01-04,23:50-24:00,0.000000
2026-01-05,00:00-00:10,0.000000
2026-01-05,00:10-00:20,0.000000
2026-01-05,00:20-00:30,0.000000
2026-01-05,00:30-00:40,0.000000
2026-01-05,00:40-00:50,0.000000
2026-01-05,00:50-01:00,0.000000
2026-01-05,01:00-01:10,0.000000
2026-01-05,01:10-01:20,0.000000
2026-01-05,01:20-01:30,0.000000
2026-01-05,01:30-01:40,0.000000
2026-01-05,01:40-01:50,0.000000
2026-01-05,01:50-02:00,0.000000
2026-01-05,02:00-02:10,0.000000
2026-01-05,02:10-02:20,0.000000
2026-01-05,02:20-02:30,0.000000
2026-01-05,02:30-02:40,0.000000
2026-01-05,02:40-02:50,0.000000
2026-01-05,02:50-03:00,0.000000
2026-01-05,03:00-03:10,0.000000
2026-01-05,03:10-03:20,0.000000
2026-01-05,03:20-03:30,0.000000
2026-01-05,03:30-03:40,0.000000
2026-01-05,03:40-03:50,0.000000
2026-01-05,03:50-04:00,0.000000
2026-01-05,04:00-04:10,0.000000
2026-01-05,04:10-04:20,0.000000
2026-01-05,04:20-04:30,0.000000
2026-01-05,04:30-04:40,0.000000
2026-01-05,04:40-04:50,0.000000
2026-01-05,04:50-05:00,0.000000
2026-01-05,05:00-05:10,0.000943
2026-01-05,05:10-05:20,0.000000
2026-01-05,05:20-05:30,0.000000
2026-01-05,05:30-05:40,0.013251
2026-01-05,05:40-05:50,0.000000
2026-01-05,05:50-06:00,0.004090
2026-01-05,06:00-06:10,1.380731
2026-01-05,06:10-06:20,1.829986
2026-01-05,06:20-06:30,2.738730
2026-01-05,06:30-06:40,10.089484
2026-01-05,06:40-06:50,4.539164
2026-01-05,06:50-07:00,5.580409
2026-01-05,07:00-07:10,187.968942
2026-01-05,07:10-07:20,446.029297
2026-01-05,07:20-07:30,707.630976
2026-01-05,07:30-07:40,975.459233
2026-01-05,07:40-07:50,1261.490107
2026-01-05,07:50-08:00,1562.306647
2026-01-05,08:00-08:10,1856.660899
2026-01-05,08:10-08:20,2121.733493
2026-01-05,08:20-08:30,2381.563029
2026-01-05,08:30-08:40,2685.273359
2026-01-05,08:40-08:50,2995.215258
2026-01-05,08:50-09:00,3277.581000
2026-01-05,09:00-09:10,3529.875021
2026-01-05,09:10-09:20,3769.806565
2026-01-05,09:20-09:30,4000.824644
2026-01-05,09:30-09:40,4216.849379
2026-01-05,09:40-09:50,4446.851879
2026-01-05,09:50-10:00,4662.006033
2026-01-05,10:00-10:10,4804.416846
2026-01-05,10:10-10:20,4962.064349
2026-01-05,10:20-10:30,5148.067319
2026-01-05,10:30-10:40,5288.018028
2026-01-05,10:40-10:50,5404.951649
2026-01-05,10:50-11:00,5531.455942
2026-01-05,11:00-11:10,5661.322728
2026-01-05,11:10-11:20,5703.303702
2026-01-05,11:20-11:30,5681.227708
2026-01-05,11:30-11:40,5712.638633
2026-01-05,11:40-11:50,5748.077793
2026-01-05,11:50-12:00,5758.117345
2026-01-05,12:00-12:10,5766.170229
2026-01-05,12:10-12:20,5752.847331
2026-01-05,12:20-12:30,5663.391463
2026-01-05,12:30-12:40,5479.040515
2026-01-05,12:40-12:50,5408.417208
2026-01-05,12:50-13:00,5433.210158
2026-01-05,13:00-13:10,5330.269946
2026-01-05,13:10-13:20,5189.062552
2026-01-05,13:20-13:30,5084.611928
2026-01-05,13:30-13:40,4987.571433
2026-01-05,13:40-13:50,4837.877181
2026-01-05,13:50-14:00,4657.475342
2026-01-05,14:00-14:10,4517.799912
2026-01-05,14:10-14:20,4337.344318
2026-01-05,14:20-14:30,4078.617997
2026-01-05,14:30-14:40,3791.328999
2026-01-05,14:40-14:50,3537.770309
2026-01-05,14:50-15:00,3307.159584
2026-01-05,15:00-15:10,3035.201134
2026-01-05,15:10-15:20,2743.671650
2026-01-05,15:20-15:30,2451.623400
2026-01-05,15:30-15:40,2155.470802
2026-01-05,15:40-15:50,1861.238511
2026-01-05,15:50-16:00,1574.921479
2026-01-05,16:00-16:10,1295.023903
2026-01-05,16:10-16:20,1002.436712
2026-01-05,16:20-16:30,708.241450
2026-01-05,16:30-16:40,444.103206
2026-01-05,16:40-16:50,189.878037
2026-01-05,16:50-17:00,5.668229
2026-01-05,17:00-17:10,4.635658
2026-01-05,17:10-17:20,10.299101
2026-01-05,17:20-17:30,2.836722
2026-01-05,17:30-17:40,1.928447
2026-01-05,17:40-17:50,1.487541
2026-01-05,17:50-18:00,0.102927
2026-01-05,18:00-18:10,0.000000
